Country Code,Country Name,Year,Age Group,Sex,Number of Deaths,"Death Rate Per 100,000"
AFG,Afghanistan,1980,15-19 years,Female,"2,796",397.7
AFG,Afghanistan,1980,15-19 years,Both,"6,192",421.6
AFG,Afghanistan,1980,20-24 years,Male,"3,859",599.1
AFG,Afghanistan,1980,20-24 years,Female,"3,440",586.9
AFG,Afghanistan,1980,20-24 years,Both,"7,299",593.3
AFG,Afghanistan,1980,25-29 years,Male,"3,509",648.6
AFG,Afghanistan,1980,25-29 years,Female,"3,710",759.1
AFG,Afghanistan,1980,25-29 years,Both,"7,219",701
AFG,Afghanistan,1980,30-34 years,Male,"3,560",751.2
AFG,Afghanistan,1980,30-34 years,Female,"3,761",882.8
AFG,Afghanistan,1980,30-34 years,Both,"7,321",813.5
AFG,Afghanistan,1980,35-39 years,Male,"3,778",974.5
AFG,Afghanistan,1980,35-39 years,Female,"4,585","1,318.80"
AFG,Afghanistan,1980,35-39 years,Both,"8,362","1,137.30"
AFG,Afghanistan,1980,40-44 years,Male,"4,094","1,282.00"
AFG,Afghanistan,1980,40-44 years,Female,"3,940","1,370.70"
AFG,Afghanistan,1980,40-44 years,Both,"8,035","1,324.10"
AFG,Afghanistan,1980,45-49 years,Male,"4,630","1,783.90"
AFG,Afghanistan,1980,45-49 years,Female,"3,882","1,635.70"
AFG,Afghanistan,1980,45-49 years,Both,"8,512","1,713.10"
AFG,Afghanistan,1980,50-54 years,Male,"5,209","2,538.70"
AFG,Afghanistan,1980,50-54 years,Female,"4,287","2,222.60"
AFG,Afghanistan,1980,50-54 years,Both,"9,496","2,385.50"
AFG,Afghanistan,1980,55-59 years,Male,"5,401","3,446.80"
AFG,Afghanistan,1980,55-59 years,Female,"4,470","2,932.00"
AFG,Afghanistan,1980,55-59 years,Both,"9,871","3,192.90"
AFG,Afghanistan,1980,60-64 years,Male,"5,496","4,813.20"
AFG,Afghanistan,1980,60-64 years,Female,"5,442","4,734.60"
AFG,Afghanistan,1980,60-64 years,Both,"10,938","4,773.70"
AFG,Afghanistan,1980,65-69 years,Male,"4,944","6,412.20"
AFG,Afghanistan,1980,65-69 years,Female,"5,449","6,779.10"
AFG,Afghanistan,1980,65-69 years,Both,"10,393","6,599.50"
AFG,Afghanistan,1980,70-74 years,Male,"4,111","8,868.60"
AFG,Afghanistan,1980,70-74 years,Female,"5,187","10,377.20"
AFG,Afghanistan,1980,70-74 years,Both,"9,298","9,651.30"
AFG,Afghanistan,1980,75-79 years,Male,"2,776","12,059.40"
AFG,Afghanistan,1980,75-79 years,Female,"3,741","14,593.30"
AFG,Afghanistan,1980,75-79 years,Both,"6,517","13,394.40"
AFG,Afghanistan,1980,80+ years,Male,"2,094","18,834.40"
AFG,Afghanistan,1980,80+ years,Female,"2,831","21,657.70"
AFG,Afghanistan,1980,80+ years,Both,"4,924","20,360.00"
AFG,Afghanistan,1980,All ages,Male,"154,935","2,074.10"
AFG,Afghanistan,1980,All ages,Female,"137,110","1,975.80"
AFG,Afghanistan,1980,All ages,Both,"292,045","2,026.80"
AFG,Afghanistan,1990,0-6 days,Male,"12,635","174,654.70"
AFG,Afghanistan,1990,0-6 days,Female,"8,636","126,115.80"
AFG,Afghanistan,1990,0-6 days,Both,"21,271","151,050.50"
AFG,Afghanistan,1990,7-27 days,Male,"8,325","39,454.30"
AFG,Afghanistan,1990,7-27 days,Female,"6,203","30,916.80"
AFG,Afghanistan,1990,7-27 days,Both,"14,528","35,293.10"
AFG,Afghanistan,1990,28-364 days,Male,"22,711","7,151.50"
AFG,Afghanistan,1990,28-364 days,Female,"19,286","6,380.20"
AFG,Afghanistan,1990,28-364 days,Both,"41,997","6,775.30"
AFG,Afghanistan,1990,1-4 years,Male,"18,029","1,520.70"
AFG,Afghanistan,1990,1-4 years,Female,"15,943","1,417.60"
AFG,Afghanistan,1990,1-4 years,Both,"33,972","1,470.50"
AFG,Afghanistan,1990,5-9 years,Male,"1,956",193.2
AFG,Afghanistan,1990,5-9 years,Female,"1,446",153.2
AFG,Afghanistan,1990,5-9 years,Both,"3,401",173.9
AFG,Afghanistan,1990,10-14 years,Male,"1,232",146.9
AFG,Afghanistan,1990,10-14 years,Female,"1,499",192.7
AFG,Afghanistan,1990,10-14 years,Both,"2,731",168.9
AFG,Afghanistan,1990,15-19 years,Male,"1,773",250.7
AFG,Afghanistan,1990,15-19 years,Female,"1,916",294.2
AFG,Afghanistan,1990,15-19 years,Both,"3,689",271.5
AFG,Afghanistan,1990,20-24 years,Male,"2,120",359.1
AFG,Afghanistan,1990,20-24 years,Female,"2,323",429.6
AFG,Afghanistan,1990,20-24 years,Both,"4,443",392.8
AFG,Afghanistan,1990,25-29 years,Male,"1,910",391.3
AFG,Afghanistan,1990,25-29 years,Female,"2,491",560.3
AFG,Afghanistan,1990,25-29 years,Both,"4,401",471.8
AFG,Afghanistan,1990,30-34 years,Male,"1,883",464.5
AFG,Afghanistan,1990,30-34 years,Female,"2,449",669.3
AFG,Afghanistan,1990,30-34 years,Both,"4,332",561.6
AFG,Afghanistan,1990,35-39 years,Male,"2,152",642.6
AFG,Afghanistan,1990,35-39 years,Female,"3,294","1,097.70"
AFG,Afghanistan,1990,35-39 years,Both,"5,445",857.7
AFG,Afghanistan,1990,40-44 years,Male,"2,557",879.6
AFG,Afghanistan,1990,40-44 years,Female,"2,999","1,147.10"
AFG,Afghanistan,1990,40-44 years,Both,"5,556","1,006.30"
AFG,Afghanistan,1990,45-49 years,Male,"2,945","1,284.50"
AFG,Afghanistan,1990,45-49 years,Female,"2,897","1,387.90"
AFG,Afghanistan,1990,45-49 years,Both,"5,842","1,333.80"
AFG,Afghanistan,1990,50-54 years,Male,"3,516","1,926.80"
AFG,Afghanistan,1990,50-54 years,Female,"3,261","1,926.80"
AFG,Afghanistan,1990,50-54 years,Both,"6,776","1,926.80"
AFG,Afghanistan,1990,55-59 years,Male,"3,857","2,744.30"
AFG,Afghanistan,1990,55-59 years,Female,"3,474","2,593.20"
AFG,Afghanistan,1990,55-59 years,Both,"7,330","2,670.60"
AFG,Afghanistan,1990,60-64 years,Male,"4,109","4,015.40"
AFG,Afghanistan,1990,60-64 years,Female,"4,314","4,266.40"
AFG,Afghanistan,1990,60-64 years,Both,"8,423","4,140.20"
AFG,Afghanistan,1990,65-69 years,Male,"3,860","5,604.30"
AFG,Afghanistan,1990,65-69 years,Female,"4,453","6,272.50"
AFG,Afghanistan,1990,65-69 years,Both,"8,312","5,943.50"
AFG,Afghanistan,1990,70-74 years,Male,"3,387","8,147.10"
AFG,Afghanistan,1990,70-74 years,Female,"4,428","9,894.50"
AFG,Afghanistan,1990,70-74 years,Both,"7,815","9,053.00"
AFG,Afghanistan,1990,75-79 years,Male,"2,430","11,582.40"
AFG,Afghanistan,1990,75-79 years,Female,"3,341","14,136.50"
AFG,Afghanistan,1990,75-79 years,Both,"5,771","12,935.30"
AFG,Afghanistan,1990,80+ years,Male,"1,919","18,198.80"
AFG,Afghanistan,1990,80+ years,Female,"2,680","21,019.70"
AFG,Afghanistan,1990,80+ years,Both,"4,599","19,742.70"
AFG,Afghanistan,1990,All ages,Male,"103,305","1,476.60"
AFG,Afghanistan,1990,All ages,Female,"97,331","1,496.40"
AFG,Afghanistan,1990,All ages,Both,"200,636","1,486.20"
AFG,Afghanistan,2000,0-6 days,Male,"19,345","168,778.10"
AFG,Afghanistan,2000,0-6 days,Female,"13,222","121,860.60"
AFG,Afghanistan,2000,0-6 days,Both,"32,567","145,956.20"
AFG,Afghanistan,2000,7-27 days,Male,"12,365","36,914.40"
AFG,Afghanistan,2000,7-27 days,Female,"9,189","28,855.10"
AFG,Afghanistan,2000,7-27 days,Both,"21,554","32,986.10"
AFG,Afghanistan,2000,28-364 days,Male,"34,469","6,734.30"
AFG,Afghanistan,2000,28-364 days,Female,"29,421","6,040.90"
AFG,Afghanistan,2000,28-364 days,Both,"63,890","6,396.20"
AFG,Afghanistan,2000,1-4 years,Male,"27,290","1,408.30"
AFG,Afghanistan,2000,1-4 years,Female,"24,027","1,308.10"
AFG,Afghanistan,2000,1-4 years,Both,"51,317","1,359.50"
AFG,Afghanistan,2000,5-9 years,Male,"3,363",183.3
AFG,Afghanistan,2000,5-9 years,Female,"2,500",145.4
AFG,Afghanistan,2000,5-9 years,Both,"5,863",165
AFG,Afghanistan,2000,10-14 years,Male,"2,243",148.8
AFG,Afghanistan,2000,10-14 years,Female,"2,982",212.7
AFG,Afghanistan,2000,10-14 years,Both,"5,225",179.6
AFG,Afghanistan,2000,15-19 years,Male,"3,346",269.6
AFG,Afghanistan,2000,15-19 years,Female,"3,816",332.7
AFG,Afghanistan,2000,15-19 years,Both,"7,162",299.9
AFG,Afghanistan,2000,20-24 years,Male,"3,950",388.1
AFG,Afghanistan,2000,20-24 years,Female,"4,519",483.1
AFG,Afghanistan,2000,20-24 years,Both,"8,470",433.6
AFG,Afghanistan,2000,25-29 years,Male,"3,556",422.3
AFG,Afghanistan,2000,25-29 years,Female,"4,877",632.8
AFG,Afghanistan,2000,25-29 years,Both,"8,433",522.9
AFG,Afghanistan,2000,30-34 years,Male,"3,504",504.3
AFG,Afghanistan,2000,30-34 years,Female,"4,788",757.3
AFG,Afghanistan,2000,30-34 years,Both,"8,292",624.8
AFG,Afghanistan,2000,35-39 years,Male,"4,049",712.5
AFG,Afghanistan,2000,35-39 years,Female,"6,689","1,300.00"
AFG,Afghanistan,2000,35-39 years,Both,"10,738",991.7
AFG,Afghanistan,2000,40-44 years,Male,"4,509",973.6
AFG,Afghanistan,2000,40-44 years,Female,"5,541","1,323.80"
AFG,Afghanistan,2000,40-44 years,Both,"10,049","1,139.80"
AFG,Afghanistan,2000,45-49 years,Male,"5,304","1,418.10"
AFG,Afghanistan,2000,45-49 years,Female,"5,353","1,573.60"
AFG,Afghanistan,2000,45-49 years,Both,"10,658","1,492.10"
AFG,Afghanistan,2000,50-54 years,Male,"6,590","2,116.70"
AFG,Afghanistan,2000,50-54 years,Female,"6,235","2,164.70"
AFG,Afghanistan,2000,50-54 years,Both,"12,826","2,139.80"
AFG,Afghanistan,2000,55-59 years,Male,"7,006","2,985.70"
AFG,Afghanistan,2000,55-59 years,Female,"6,421","2,886.80"
AFG,Afghanistan,2000,55-59 years,Both,"13,427","2,937.60"
AFG,Afghanistan,2000,60-64 years,Male,"7,475","4,335.70"
AFG,Afghanistan,2000,60-64 years,Female,"8,044","4,783.50"
AFG,Afghanistan,2000,60-64 years,Both,"15,519","4,556.80"
AFG,Afghanistan,2000,65-69 years,Male,"7,043","5,983.10"
AFG,Afghanistan,2000,65-69 years,Female,"8,296","6,958.20"
AFG,Afghanistan,2000,65-69 years,Both,"15,339","6,473.70"
AFG,Afghanistan,2000,70-74 years,Male,"6,170","8,625.10"
AFG,Afghanistan,2000,70-74 years,Female,"8,255","10,857.40"
AFG,Afghanistan,2000,70-74 years,Both,"14,425","9,775.30"
AFG,Afghanistan,2000,75-79 years,Male,"4,421","12,151.80"
AFG,Afghanistan,2000,75-79 years,Female,"6,245","15,288.70"
AFG,Afghanistan,2000,75-79 years,Both,"10,666","13,811.10"
AFG,Afghanistan,2000,80+ years,Male,"3,560","18,936.50"
AFG,Afghanistan,2000,80+ years,Female,"5,138","22,266.20"
AFG,Afghanistan,2000,80+ years,Both,"8,698","20,771.40"
AFG,Afghanistan,2000,All ages,Male,"169,558","1,412.90"
AFG,Afghanistan,2000,All ages,Female,"165,558","1,480.40"
AFG,Afghanistan,2000,All ages,Both,"335,117","1,445.40"
AFG,Afghanistan,2010,0-6 days,Male,"17,163","127,190.90"
AFG,Afghanistan,2010,0-6 days,Female,"11,904","93,233.30"
AFG,Afghanistan,2010,0-6 days,Both,"29,067","110,681.50"
AFG,Afghanistan,2010,7-27 days,Male,"7,639","19,244.20"
AFG,Afghanistan,2010,7-27 days,Female,"5,864","15,557.20"
AFG,Afghanistan,2010,7-27 days,Both,"13,504","17,448.20"
AFG,Afghanistan,2010,28-364 days,Male,"22,361","3,632.40"
AFG,Afghanistan,2010,28-364 days,Female,"19,657","3,361.70"
AFG,Afghanistan,2010,28-364 days,Both,"42,017","3,500.50"
AFG,Afghanistan,2010,1-4 years,Male,"14,079",575.9
AFG,Afghanistan,2010,1-4 years,Female,"12,352",533
AFG,Afghanistan,2010,1-4 years,Both,"26,432",555
AFG,Afghanistan,2010,5-9 years,Male,"2,749",111.4
AFG,Afghanistan,2010,5-9 years,Female,"2,054",88.9
AFG,Afghanistan,2010,5-9 years,Both,"4,804",100.5
AFG,Afghanistan,2010,10-14 years,Male,"2,296",104
AFG,Afghanistan,2010,10-14 years,Female,"2,963",143.9
AFG,Afghanistan,2010,10-14 years,Both,"5,259",123.3
AFG,Afghanistan,2010,15-19 years,Male,"4,079",224.6
AFG,Afghanistan,2010,15-19 years,Female,"4,328",256.3
AFG,Afghanistan,2010,15-19 years,Both,"8,407",239.9
AFG,Afghanistan,2010,20-24 years,Male,"4,858",328.9
AFG,Afghanistan,2010,20-24 years,Female,"4,816",353.1
AFG,Afghanistan,2010,20-24 years,Both,"9,675",340.5
AFG,Afghanistan,2010,25-29 years,Male,"4,257",355.6
AFG,Afghanistan,2010,25-29 years,Female,"4,986",453
AFG,Afghanistan,2010,25-29 years,Both,"9,243",402.2
AFG,Afghanistan,2010,30-34 years,Male,"4,112",423.2
AFG,Afghanistan,2010,30-34 years,Female,"4,944",556.3
AFG,Afghanistan,2010,30-34 years,Both,"9,056",486.8
AFG,Afghanistan,2010,35-39 years,Male,"4,826",606.5
AFG,Afghanistan,2010,35-39 years,Female,"7,285","1,005.00"
AFG,Afghanistan,2010,35-39 years,Both,"12,112",796.5
AFG,Afghanistan,2010,40-44 years,Male,"5,351",828.7
AFG,Afghanistan,2010,40-44 years,Female,"6,270","1,065.20"
AFG,Afghanistan,2010,40-44 years,Both,"11,621",941.5
AFG,Afghanistan,2010,45-49 years,Male,"6,233","1,207.70"
AFG,Afghanistan,2010,45-49 years,Female,"6,158","1,300.70"
AFG,Afghanistan,2010,45-49 years,Both,"12,392","1,252.20"
AFG,Afghanistan,2010,50-54 years,Male,"7,371","1,810.40"
AFG,Afghanistan,2010,50-54 years,Female,"6,841","1,812.20"
AFG,Afghanistan,2010,50-54 years,Both,"14,212","1,811.30"
AFG,Afghanistan,2010,55-59 years,Male,"8,105","2,588.40"
AFG,Afghanistan,2010,55-59 years,Female,"7,240","2,448.60"
AFG,Afghanistan,2010,55-59 years,Both,"15,346","2,520.50"
AFG,Afghanistan,2010,60-64 years,Male,"9,104","3,768.00"
AFG,Afghanistan,2010,60-64 years,Female,"9,218","3,926.10"
AFG,Afghanistan,2010,60-64 years,Both,"18,322","3,845.90"
AFG,Afghanistan,2010,65-69 years,Male,"8,591","5,291.90"
AFG,Afghanistan,2010,65-69 years,Female,"9,500","5,805.00"
AFG,Afghanistan,2010,65-69 years,Both,"18,090","5,549.50"
AFG,Afghanistan,2010,70-74 years,Male,"7,726","7,716.70"
AFG,Afghanistan,2010,70-74 years,Female,"9,701","9,206.80"
AFG,Afghanistan,2010,70-74 years,Both,"17,427","8,480.80"
AFG,Afghanistan,2010,75-79 years,Male,"5,740","11,021.70"
AFG,Afghanistan,2010,75-79 years,Female,"7,679","13,286.30"
AFG,Afghanistan,2010,75-79 years,Both,"13,419","12,212.90"
AFG,Afghanistan,2010,80+ years,Male,"4,865","17,636.80"
AFG,Afghanistan,2010,80+ years,Female,"6,892","20,370.10"
AFG,Afghanistan,2010,80+ years,Both,"11,757","19,142.40"
AFG,Afghanistan,2010,All ages,Male,"151,509",917.5
AFG,Afghanistan,2010,All ages,Female,"150,654",977
AFG,Afghanistan,2010,All ages,Both,"302,163",946.3
AGO,Angola,1970,0-6 days,Male,"5,624","188,835.70"
AGO,Angola,1970,0-6 days,Female,"4,474","154,472.80"
AGO,Angola,1970,0-6 days,Both,"10,097","171,894.10"
AGO,Angola,1970,7-27 days,Male,"4,724","54,620.70"
AGO,Angola,1970,7-27 days,Female,"3,924","46,604.10"
AGO,Angola,1970,7-27 days,Both,"8,648","50,666.40"
AGO,Angola,1970,28-364 days,Male,"13,590","10,444.30"
AGO,Angola,1970,28-364 days,Female,"11,138","8,777.90"
AGO,Angola,1970,28-364 days,Both,"24,729","9,621.60"
AGO,Angola,1970,1-4 years,Male,"26,325","5,831.50"
AGO,Angola,1970,1-4 years,Female,"19,853","4,415.90"
AGO,Angola,1970,1-4 years,Both,"46,178","5,125.10"
AGO,Angola,1970,5-9 years,Male,"1,842",426.6
AGO,Angola,1970,5-9 years,Female,"1,444",328.7
AGO,Angola,1970,5-9 years,Both,"3,286",377.2
AGO,Angola,1970,10-14 years,Male,"1,121",316
AGO,Angola,1970,10-14 years,Female,736,203.1
AGO,Angola,1970,10-14 years,Both,"1,857",258.9
AGO,Angola,1970,15-19 years,Male,"1,302",442.1
AGO,Angola,1970,15-19 years,Female,812,268.7
AGO,Angola,1970,15-19 years,Both,"2,113",354.3
AGO,Angola,1970,20-24 years,Male,"1,595",686.7
AGO,Angola,1970,20-24 years,Female,971,410.6
AGO,Angola,1970,20-24 years,Both,"2,567",547.4
AGO,Angola,1970,25-29 years,Male,"1,587",788
AGO,Angola,1970,25-29 years,Female,"1,050",505.6
AGO,Angola,1970,25-29 years,Both,"2,637",644.7
AGO,Angola,1970,30-34 years,Male,"1,616",933.2
AGO,Angola,1970,30-34 years,Female,"1,051",585.8
AGO,Angola,1970,30-34 years,Both,"2,667",756.4
AGO,Angola,1970,35-39 years,Male,"1,918","1,287.60"
AGO,Angola,1970,35-39 years,Female,"1,143",738.8
AGO,Angola,1970,35-39 years,Both,"3,060","1,008.00"
AGO,Angola,1970,40-44 years,Male,"2,081","1,647.90"
AGO,Angola,1970,40-44 years,Female,"1,069",806.9
AGO,Angola,1970,40-44 years,Both,"3,150","1,217.40"
AGO,Angola,1970,45-49 years,Male,"2,303","2,184.80"
AGO,Angola,1970,45-49 years,Female,"1,096",974.1
AGO,Angola,1970,45-49 years,Both,"3,399","1,559.70"
AGO,Angola,1970,50-54 years,Male,"2,552","2,965.90"
AGO,Angola,1970,50-54 years,Female,"1,280","1,356.80"
AGO,Angola,1970,50-54 years,Both,"3,832","2,124.30"
AGO,Angola,1970,55-59 years,Male,"2,564","3,786.00"
AGO,Angola,1970,55-59 years,Female,"1,382","1,794.20"
AGO,Angola,1970,55-59 years,Both,"3,946","2,726.10"
AGO,Angola,1970,60-64 years,Male,"2,827","5,602.40"
AGO,Angola,1970,60-64 years,Female,"1,760","2,935.80"
AGO,Angola,1970,60-64 years,Both,"4,587","4,154.70"
AGO,Angola,1970,65-69 years,Male,"2,442","7,073.40"
AGO,Angola,1970,65-69 years,Female,"1,819","4,255.30"
AGO,Angola,1970,65-69 years,Both,"4,262","5,514.40"
AGO,Angola,1970,70-74 years,Male,"1,935","9,493.60"
AGO,Angola,1970,70-74 years,Female,"1,701","6,333.70"
AGO,Angola,1970,70-74 years,Both,"3,635","7,696.90"
AGO,Angola,1970,75-79 years,Male,"1,183","12,174.90"
AGO,Angola,1970,75-79 years,Female,"1,212","8,811.10"
AGO,Angola,1970,75-79 years,Both,"2,395","10,203.80"
AGO,Angola,1970,80+ years,Male,648,"17,062.50"
AGO,Angola,1970,80+ years,Female,890,"13,774.90"
AGO,Angola,1970,80+ years,Both,"1,538","14,992.40"
AGO,Angola,1970,All ages,Male,"79,780","2,718.80"
AGO,Angola,1970,All ages,Female,"58,802","1,937.00"
AGO,Angola,1970,All ages,Both,"138,582","2,321.30"
AGO,Angola,1980,0-6 days,Male,"6,400","164,960.70"
AGO,Angola,1980,0-6 days,Female,"5,168","137,010.50"
AGO,Angola,1980,0-6 days,Both,"11,569","151,163.10"
AGO,Angola,1980,7-27 days,Male,"5,223","46,196.80"
AGO,Angola,1980,7-27 days,Female,"4,471","40,647.80"
AGO,Angola,1980,7-27 days,Both,"9,694","43,460.50"
AGO,Angola,1980,28-364 days,Male,"15,566","9,174.30"
AGO,Angola,1980,28-364 days,Female,"12,646","7,647.60"
AGO,Angola,1980,28-364 days,Both,"28,212","8,420.80"
AGO,Angola,1980,1-4 years,Male,"28,623","4,973.90"
AGO,Angola,1980,1-4 years,Female,"21,541","3,773.90"
AGO,Angola,1980,1-4 years,Both,"50,164","4,376.30"
AGO,Angola,1980,5-9 years,Male,"2,000",358.7
AGO,Angola,1980,5-9 years,Female,"1,599",283.8
AGO,Angola,1980,5-9 years,Both,"3,599",321
AGO,Angola,1980,10-14 years,Male,"1,282",275.5
AGO,Angola,1980,10-14 years,Female,883,187.1
AGO,Angola,1980,10-14 years,Both,"2,165",231
AGO,Angola,1980,15-19 years,Male,"1,626",410.2
AGO,Angola,1980,15-19 years,Female,"1,038",257.4
AGO,Angola,1980,15-19 years,Both,"2,664",333.1
AGO,Angola,1980,20-24 years,Male,"2,093",642.2
AGO,Angola,1980,20-24 years,Female,"1,310",391.2
AGO,Angola,1980,20-24 years,Both,"3,403",515
AGO,Angola,1980,25-29 years,Male,"1,955",737
AGO,Angola,1980,25-29 years,Female,"1,331",481.5
AGO,Angola,1980,25-29 years,Both,"3,286",606.6
AGO,Angola,1980,30-34 years,Male,"1,803",873.1
AGO,Angola,1980,30-34 years,Female,"1,199",560.9
AGO,Angola,1980,30-34 years,Both,"3,002",714.3
AGO,Angola,1980,35-39 years,Male,"2,150","1,208.80"
AGO,Angola,1980,35-39 years,Female,"1,331",719.7
AGO,Angola,1980,35-39 years,Both,"3,481",959.5
AGO,Angola,1980,40-44 years,Male,"2,335","1,550.50"
AGO,Angola,1980,40-44 years,Female,"1,239",786.8
AGO,Angola,1980,40-44 years,Both,"3,574","1,160.10"
AGO,Angola,1980,45-49 years,Male,"2,605","2,061.70"
AGO,Angola,1980,45-49 years,Female,"1,276",951.5
AGO,Angola,1980,45-49 years,Both,"3,882","1,490.10"
AGO,Angola,1980,50-54 years,Male,"2,915","2,810.90"
AGO,Angola,1980,50-54 years,Female,"1,502","1,328.70"
AGO,Angola,1980,50-54 years,Both,"4,417","2,037.80"
AGO,Angola,1980,55-59 years,Male,"2,981","3,610.60"
AGO,Angola,1980,55-59 years,Female,"1,636","1,760.60"
